# group	path	line	expect	note
# Location log for the repo-wide divergence audit. Verified by verify_locations.py.
L8-swallow	systems/social_contest/sim/contest_legacy_stub.py	247	except (ImportError, AttributeError)	DEPRECATED module, low consequence
L8-swallow	systems/characters/sim/conviction.py	167	def apply_conviction_scar	callee EXISTS -> ImportError unreachable
L8-swallow	systems/threadwork/sim/coherence.py	138	def apply_coherence_delta	callee EXISTS -> ImportError unreachable
L8-invisible	engine/cross_scale/scene_dispatch.py	316		Projection +1D residual: comment only, no stub, no ED
L8-invisible	engine/cross_scale/echo_transport.py	376		Accord-Echo leg wired but dormant, uncounted
L8-invisible	systems/factions/sim/parliamentary_action.py	162	TODO	the ONLY TODO in systems/; 4 unbuilt sanction tiers
L8-invisible	systems/factions/sim/parliamentary_transfer.py	142		replay-rule decision held in a docstring
L8-invisible	systems/mass_battle/sim/altonian_reinforcements.py	21	NotImplementedError	missed stubwire sweep, still unconverted
L4-accord	systems/factions/sim/mass_seizure.py	295	t.accord = float(starting_accord)	BUG: canonical index written to continuous field
L4-accord	systems/factions/sim/mass_seizure.py	277	starting_accord = min(pt // 2 + 2, 3)	computes a canonical INDEX 2..3
L4-accord	systems/factions/sim/mass_seizure.py	293	Convert int accord	comment asserts same-scale; it is not
L4-accord	engine/autoload/game_state.py	58	ACCORD_MAP	{0:1.0,1:2.5,2:4.0,3:5.5,4:7.0}
L4-accord	engine/substrate/canon_buckets.py	44	if continuous_accord < 1.75	2.0 and 3.0 both bucket to 1
L4-accord	systems/factions/sim/parliamentary_transfer.py	278	terr.accord = ACCORD_MAP[accord_level]	the CORRECT sibling
L4-accord	engine/autoload/game_state.py	156	def adjust_accord	relative only; NO absolute set_accord owner
L4-standing	engine/autoload/game_state.py	114	standing	no mutator, no MULTS, unbounded
L4-standing	systems/factions/sim/crown_initiative.py	80	crown.standing	FEEDS A DICE POOL
L4-standing	systems/factions/sim/crown_initiative.py	308	crown.standing	FEEDS A DICE POOL
L4-standing	engine/autoload/game_state.py	279	standing	persists through serialize/restore
L4-standing	systems/social_contest/sim/contest/primitives.py	31	class Standing	BOUNDED [0,10] primitive to compose on
L4-hp	systems/mass_battle/sim/units.py	375	def recalc_size	manual pairing, no apply_damage owner
L4-hp	systems/mass_battle/sim/massbattle.py	1275	hp = max(0	paired at 1277
L4-hp	systems/mass_battle/sim/massbattle.py	1582	hp = max(0	paired at 1583
L4-hp	systems/mass_battle/sim/massbattle.py	1638	hp = max(0	paired at 1639
L4-hp	tests/sim/mass_battle/orchestration.py	2064	hp = max(0	paired 58 lines later at 2123
L4-reset	systems/world/sim/npe.py	385		conditional counter reset: leaks module counter
L4-reset	systems/fieldwork/sim/knots.py	385		unconditional: the correct twin
L4-reset	engine/cross_scale/echo_transport.py	306	_echo_key_seq	dynamic attr, NOT serialized -> Key id collision
L4-clock	systems/overview/sim/ci_track.py	71	CI_STARTING	28 vs world-gen 30.0
L4-clock	engine/autoload/game_state.py	244	clocks=	CI 30.0 at world-gen
L4-settle	systems/settlements/sim/registry.py	50	STAT_M	[0,5] declared here
L4-settle	systems/settlements/sim/settlement.py	40	SETTLEMENT_STAT_M	[0,5] declared AGAIN
L4-settle	systems/settlements/sim/registry.py	259	Settlement(	ingestion: type validated, stat range NOT
L4-combat	systems/combat/combat_engine_v1/combatant.py	149	def fatigue	docstring claims [0,1]; exceeds 1 when stamina<0
L2-tn	engine/autoload/dice_engine.py	43	def _die_result	takes ONLY face: TN 7 hardcoded
L2-tn	engine/autoload/dice_engine.py	65	def roll_pool	accepts tn, never applies it (discrete)
L2-tn	systems/threadwork/sim/operations.py	47	TN_BINDING = 8	Lock/Dissolution TN 8
L2-tn	systems/threadwork/sim/operations.py	48	TN_POP = 8	POP TN 8
L2-tn	systems/threadwork/sim/operations.py	49	TN_POP_BINDING = 9	POP-Binding TN 9
L2-tn	systems/threadwork/sim/operations.py	176	tn=tn	passes 8/9 into the TN-blind roller
L2-tn	systems/threadwork/sim/collective.py	149		same TN-blind path
L2-tn	systems/threadwork/sim/opposing.py	127		same TN-blind path
L2-tn	systems/combat/sim/combat.py	206		weapon TN 5-8 inert (DEPRECATED module)
L2-tn	engine/autoload/dice_engine.py	58	_CONTINUOUS_PARAMS	continuous table IS tn-aware: engine self-disagrees
L2-tn	systems/mass_battle/sim/massbattle.py	627	def roll_pool	tn-PARAMETERIZED clone; agrees only at tn=7
L2-rng	engine/autoload/dice_engine.py	69	random.Random()	fresh OS-seeded; NOT affected by random.seed()
L2-rng	systems/mass_battle/sim/massbattle.py	631	else random	module global; IS affected
L2-rng	engine/cross_scale/combat_bridge.py	140	getrandbits	derived child stream: the pattern to converge on
L2-rng	engine/cross_scale/scene_dispatch.py	295	getstate	reseed WITH restore: correct
L2-rng	systems/factions/sim/treaty.py	131		constant-0.95 pseudo-roll fallback: never lapses
L2-nameerr	systems/mass_battle/sim/units.py	299	random.randint	NameError: random not imported in module
L2-nameerr	tests/sim/mass_battle/hierarchy/units.py	2105	random	same latent NameError in CANON engine
L2-d6	systems/factions/sim/faction_action.py	90	def _successes	d6>=4; no conversion at the seam
L5-victory	engine/autoload/victory.py	73	Turmoil	PS leg DEAD: zero writers, always satisfied
L5-victory	engine/autoload/game_state.py	244	Turmoil	the only other reference: the initializer
L5-victory	engine/autoload/victory.py	71	ACCORD_MIN	raw continuous vs canon-index: 1 bucket lenient
L5-victory	engine/mc_v18.py	284		fallback winner mixes 3 units, uncited weights
L5-bucket	systems/world/sim/insurgency_pipeline.py	228		raw mean vs canon index: 2 buckets lenient
L5-bucket	systems/world/sim/npe.py	185	canonical	the CORRECT model to copy
L5-mults	systems/factions/sim/faction_action.py	515	MUSTER_WEALTH_COST	-0.01 W: 100x under convention
L5-mults	systems/factions/sim/faction_action.py	69	MUSTER_WEALTH_COST = 1	point-scale constant passed as granular
L5-mults	engine/autoload/game_state.py	42	MULTS	W:100 divisor
L5-mults	engine/autoload/game_state.py	128	granular_delta / mult	the division that makes it 0.01
L5-mults	systems/factions/sim/faction_action.py	467	adjust('L', -10)	citation faction_layer 2.3 does not contain the rule
L5-accord	systems/factions/sim/crown_initiative.py	102	adjust_accord(15)	+1 canonical = 1.5 here
L5-accord	systems/factions/sim/crown_initiative.py	110	_MULTS_ACCORD	+1 canonical = 1.0 here, same file
L5-perm	systems/social_contest/sim/parliamentary_vote.py	216		one-season penalty applied PERMANENTLY
L5-perm	engine/autoload/season_manager.py	31		no restoration logic exists
L5-loop	engine/cross_scale/scene_dispatch.py	81		council triggers on Sta, echoes on L: cannot clear itself
L5-ci	systems/overview/sim/ci_track.py	71	CI_STARTING	28 cited canonical
L5-range	systems/settlements/sim/registry.py	190	floor	order 0-5 aggregated as accord 0-4
L6-dead	engine/cross_scale/zoom_in_out.py	138	pc_incapacitated	ZERO producers: ED-159 dead default
L6-dead	engine/cross_scale/zoom_in_out.py	149	contested_figure_wounded	ZERO producers: ED-167/ED-PC-0006 dead default
L6-winner	engine/cross_scale/echo_transport.py	196	winner	'draw' is truthy -> Success for a drawn contest
L6-winner	systems/social_contest/sim/contest/contract.py	7	A, B	lowercase tokens vs uppercase elsewhere
L6-reason	engine/cross_scale/scene_dispatch.py	357	reason	one key, four meanings
L6-shape	systems/social_contest/sim/contest/wrapper.py	229	resolve_contest	2-tuple OR bare StubResult
L6-shape	engine/cross_scale/scene_dispatch.py	276	str(rr)	third shape under out['result']
L6-contract	references/module_contracts.yaml	86	scene.battle_concluded	declared MB-owned; actual emitter is FA lane
L6-contract	systems/factions/sim/faction_action.py	321		emits scene.battle_concluded on MB's behalf
L6-names	systems/factions/sim/parliamentary_transfer.py	92	effects	vs effects_applied in 3 siblings
L3-owner	systems/factions/sim/mass_seizure.py	292	t.owner = 'Church'	writes owner, NEVER updates .territories lists
L3-owner	systems/factions/sim/faction_action.py	468	t.owner	the dual-write done correctly
L3-owner	systems/factions/sim/parliamentary_transfer.py	279		BUGFIX comment: this exact desync happened before
L3-owner	systems/factions/sim/parliamentary_transfer.py	96	_holder_of	derives ownership by SCANNING lists: the other half
L3-stat	engine/cross_scale/domain_echo.py	197		emits 'Mandate'/'Stability', not MULTS codes
L3-stat	engine/cross_scale/echo_transport.py	435	in MULTS	silently drops unknown stat name
L3-stat	engine/autoload/game_state.py	42	MULTS	the code vocabulary: L/Sta/W/I/Mil
L3-treaty	systems/factions/sim/treaty.py	150	tuple(sorted	registry keyed by TUPLE
L3-treaty	engine/autoload/game_state.py	187	treaties	declared FROZENSET
L3-treaty	engine/autoload/game_state.py	382	frozenset	restore mints frozenset keys: last-wins collapse
L3-alias	systems/threadwork/sim/operations.py	169	unknown	fallback identity aliases distinct actors
L3-alias	systems/threadwork/sim/opposing.py	109		fallbacks 'A'/'B' collide across contests
L3-alias	systems/threadwork/sim/collective.py	86	anchor	fallback literal
L3-dead	systems/world/sim/npe.py	299	hidden_allegiance	assigned, NEVER used: silent no-op + wasted draw
L3-roster	engine/autoload/game_state.py	51	STARTING_STATS	faction roster of record
L3-roster	engine/mc_v18.py	323		DUPLICATE roster literal
L3-roster	systems/world/sim/npe.py	245		DUPLICATE roster literal
L3-roster	systems/settlements/sim/temperaments.py	72		DUPLICATE roster as dict keys
L3-dangle	systems/settlements/sim/adjacency.py	10	T16	neighbor value with no key: asymmetric
L3-default	systems/threadwork/sim/co_movement.py	139	MS	default 80.0 vs owner's 60
L3-default	systems/overview/sim/ms_track.py	51		MS owner default 60
L7-dead	tools/ci_co_file_checker.py	90	engine/params	DEAD RULE in blocking tier: tree evacuated
L7-dead	tools/ci_co_file_checker.py	95	continue	fires unconditionally: zero items examined
L7-dead	tools/valoria_local.py	157	ci_co_file_checker	blocking=True locally
L7-dead	.github/workflows/valoria-ci.yml	116	ci_co_file_checker	blocking CI job
L7-nofail	tools/ci_supersession_check.py	66	return 0	cannot fail, sits in BLOCKING bucket
L7-nofail	tools/ci_audit_registry_check.py	74	return 0	cannot fail, sits in BLOCKING bucket
L7-pathres	tools/pathres.py	122		declares sole ownership; has NO automated caller
L7-pathres	tools/broken_dependency_checker.py	136	_resolve_remap	single-hop; blocking
L7-pathres	tools/ci_claude_workflow_paths.py	104		chained but NO FORK handling; blocking
L7-trees	tools/pathres.py	71	TREES	19 entries (owner)
L7-trees	tools/ci_claude_workflow_paths.py	65	TREES	17: missing dashboard, research
L7-walk	tools/broken_dependency_checker.py	23		exclusions = {'.git'} ONLY
L7-cap	tools/ci_register_size_check.py	70		propagation_map 15000 CONTRADICTS policy 10000
L7-cap	references/atomization_rules.yaml	169		policy says 10000
L7-status	tools/observability/obs_core.py	104	STATUS_RE	declared owner
L7-status	tools/observability/build_incompleteness.py	302		0-4 hashes: over-matches the owner
L7-status	tools/build_identifier_census.py	274		exactly-2 hashes, case-sensitive: under-matches
L7-ledger	tools/dashboard_data.py	631		no isinstance guard: list description -> AttributeError
L7-cilocal	tools/validate_ed_citations.py	1		CI-ONLY: local-green misses the anti-fabrication gate
L9-export	tools/export_sim_params.py	36	systems/combat/sim	scans the SUPERSEDED combat model
L9-export	engine/engine_params/sim_params.json	607	COMBAT_POOL_HISTORY_CONSTANT	stale model published as typed truth
L9-export	engine/engine_params/sim_params.json	723	WEAPON_TN_BASE	stale model published as typed truth
L9-export	references/module_contracts.yaml	1054	MODEL CORRECTION	flags combat/sim as superseded
L9-export	engine/mc_v18.py	71	DISPATCH_COMBAT_BRIDGE	default OFF: campaign still uses superseded model
L9-mults	systems/factions/sim/crown_initiative.py	32	_MULTS_W = 100	private copy
L9-mults	systems/factions/sim/crown_initiative.py	33	_MULTS_L = 20	private copy
L9-mults	systems/factions/sim/crown_initiative.py	34	_MULTS_ACCORD = 10	cites the owner it declines to import
L9-mults	systems/factions/sim/council_solmund.py	24	_MULTS_L = 20	private copy
L9-mults	systems/factions/sim/excommunication.py	35	_MULTS_L = 20	private copy
L9-mults	systems/factions/sim/absolution.py	26	_MULTS_L = 20	private copy
L9-mults	systems/factions/sim/absolution.py	27	_MULTS_STA = 10	private copy
L9-perdie	engine/autoload/dice_engine.py	58	_CONTINUOUS_PARAMS	the owner table
L9-perdie	engine/autoload/sigma_leverage.py	73	PER_DIE	copied verbatim from the owner
L9-perdie	engine/autoload/sigma_leverage.py	100	MU_PER_DIE	third copy of the TN7 row
L9-perdie	engine/autoload/sigma_leverage.py	101	SD_PER_DIE	third copy of the TN7 row
L9-perdie	engine/autoload/sigma_leverage.py	93	SIGMA_N_COEFF	equals PER_DIE[7] sigma by documented coincidence
L9-mbfork	systems/mass_battle/sim/massbattle.py	54	BATTLEFIELD_SIZE = 25	DIVERGED from canon
L9-mbfork	tests/sim/mass_battle/config.py	16	BATTLEFIELD_SIZE = 51	canon: 'config.py is leading canon'
L9-model	tests/valoria/test_combat_invariants.py	298		THE MODEL CASE: single-owner identity guard
L9-model	systems/combat/combat_engine_v1/weapon_physics.py	63	PERC_CAP	owner, guarded
L9-model	systems/combat/combat_engine_v1/core.py	221	PERC_AUTH_REF	bound import, not a copy
L9-conv	systems/characters/sim/conviction.py	42	13-Conviction	comment says 13; tuple has 9
L9-uncited	systems/combat/combat_engine_v1/geometry.py	33	0.25 + 0.75	uncited, unexported, in every weapon coefficient
L9-uncited	systems/combat/combat_engine_v1/geometry.py	34	1.15	rigidity exponent, uncited
L9-uncited	systems/combat/combat_engine_v1/core.py	556	1.5	duplicate of QUAL['overwhelming']
L9-uncited	systems/combat/combat_engine_v1/core.py	499	3.0	numerically HEFT_HEAVY; 'filed, not fixed'
L9-gap	tests/valoria/test_combat_invariants.py	512		guards dead-key direction ONLY; missing-key unguarded
